parkCode,fullName,Photography,Colonization_and_Settlement,Lighthouses,Schools_and_Education,Animals,Fish,Forests_and_Woodlands,Geology,Lakes,Mountains,Night_Sky,Astronomy,Rock_Landscapes_and_Features,Trails,Fossils_and_Paleontology,Scenic_Views,Unique_Species,Endangered,Wilderness,Ruins,Canyons_and_Canyonlands,Hot_Springs,River_and_Riparian,Ships_and_Shipwrecks,Explorers_and_Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture_and_Building,Freshwater_Springs,Prop_JAN,Prop_FEB,Prop_MAR,Prop_APR,Prop_MAY,Prop_JUN,Prop_JUL,Prop_AUG,Prop_SEP,Prop_OCT,Prop_NOV,Prop_DEC,TotalVisitors2024
kefj,Kenai Fjords NP,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1.0966271563027454e-4,1.3111846434054564e-4,1.6687804552433083e-4,3.3375609104866166e-5,0.07357414629959853,0.2430793290548981,0.3144864447347593,0.2683994965050969,0.08929405818799051,0.010704034634346363,4.767944157838024e-6,1.6687804552433083e-5,419468
kova,Kobuk Valley NP,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05031045087912726,0.042186502640283174,0.048395520222828295,0.058376370916265304,0.05918876574014971,0.10311611443161377,0.107584285962978,0.11802936227006325,0.10323217083502582,0.11663668542911855,0.09435385597400336,0.09858991469854349,17233
lacl,Lake Clark NP & PRES,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.017724939205620103,0.2769521750878141,0.353363955687652,0.24506890029721698,0.10494460956498244,0.0019454201567144014,0,0,18505
lavo,Lassen Volcanic NP,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0.01989649127221789,0.018973804071566975,0.016977444491976815,0.019510640261036598,0.09569943883842069,0.2038383787547078,0.2573961767197631,0.04652859910918745,0.1580479294060411,0.11926990278232132,0.032973485325079474,0.010887708967680784,357651
maca,Mammoth Cave NP,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0.024349367237718897,0.036833270418530684,0.11459596649184384,0.090352349667087,0.09067897119572929,0.12590322900184997,0.13728277660426053,0.11638569183526495,0.06670976999954487,0.10137582625876457,0.054559181411486905,0.04097359987791851,747042
meve,Mesa Verde NP,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011231812358743086,0.014152250216116567,0.032824721652276255,0.061264620415985335,0.1188755689333736,0.1850061970774791,0.16829179381958692,0.1372501640402862,0.12847426910939144,0.10135085873787925,0.02302604855592472,0.018251695082957518,480065
mora,Mount Rainier NP,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0.010536998011118476,0.013599949629816185,0.018265364449267473,0.016501173452444003,0.05187635107524293,0.14506119113139088,0.24027318417339194,0.2351886351038206,0.14230317665490128,0.0992082745372548,0.014607353306098867,0.012578348475252561,1620006
neri,New River Gorge NP & PRES,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.022093483382700393,0.02155704089049454,0.052284378540755,0.07375201234921523,0.11331740562723759,0.12888472391700154,0.16181357298846483,0.1348192569609208,0.09825120851332028,0.11875081749531027,0.04844594486452895,0.02603015447005056,1811937
noca,North Cascades NP,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0026690931149529877,0.0038823172581134366,0.011828935395814377,0.06848650288140734,0.06521079769487413,0.18234758871701548,0.3604488929329694,0.09469214437367304,0.14176524112829844,0.06739460115256293,0.0011525629360024264,1.213224143160449e-4,16485
olym,Olympic NP,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0.027092484882038335,0.031707703535958004,0.04487194489930371,0.05824494178115266,0.08631233645578862,0.10167416007513047,0.15319830402282106,0.1656173742698601,0.14455297399944636,0.09126140253040742,0.06325534324007395,0.032211030308019306,3717267
pefo,Petrified Forest NP,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0.03855850829855486,0.041297871807801104,0.10276904590758403,0.09252504228847715,0.10673861966119151,0.13609022018617659,0.08788672052412679,0.07759801449788468,0.09760144764275266,0.10460184460012803,0.05954718249668308,0.05478548208863951,559254
pinn,Pinnacles NP,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0.06076943932940951,0.05650199392220879,0.1258119725708605,0.10124662501835764,0.10409911996294581,0.09159050599306363,0.06865475208712254,0.07043685536438504,0.06768038500208995,0.07234322574814446,0.09530439792586902,0.0855607270755431,354076
romo,Rocky Mountain NP,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.026692750175779646,0.02545212258286437,0.035048812702062344,0.0382493141524701,0.07818360951378904,0.15436305423545302,0.18258504521406363,0.15023605383177965,0.14820950286073703,0.09595679130472669,0.03372297320229957,0.031299970223974925,4154349
